"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
301,"State Representative District 64 (Vote For 1)","Write-in","",272,2.93,24993,16807,2,2,"0","0"
302,"State Representative District 65 (Vote For 1)","George M. Olmsted","REP",3956,30.48,154556,102448,1,1,"9","342"
303,"State Representative District 65 (Vote For 1)","Liz Bennett","DEM",9002,69.36,154556,102448,1,1,"9","342"
304,"State Representative District 65 (Vote For 1)","Write-in","",20,0.15,154556,102448,1,1,"9","342"
305,"State Representative District 66 (Vote For 1)","Teresa Daubitz","REP",5571,38.92,154556,102448,1,1,"6","313"
306,"State Representative District 66 (Vote For 1)","Art Staed","DEM",8725,60.96,154556,102448,1,1,"6","313"
307,"State Representative District 66 (Vote For 1)","Write-in","",17,0.12,154556,102448,1,1,"6","313"
308,"State Representative District 67 (Vote For 1)","Ashley Hinson","REP",8593,51.96,154556,102448,1,1,"7","167"
309,"State Representative District 67 (Vote For 1)","Eric Gjerde","DEM",7932,47.97,154556,102448,1,1,"7","167"
310,"State Representative District 67 (Vote For 1)","Write-in","",12,0.07,154556,102448,1,1,"7","167"
311,"State Representative District 68 (Vote For 1)","Randy Ray","REP",6979,44.73,154556,102448,1,1,"10","286"
312,"State Representative District 68 (Vote For 1)","Molly Donahue","DEM",8608,55.17,154556,102448,1,1,"10","286"
313,"State Representative District 68 (Vote For 1)","Write-in","",15,0.10,154556,102448,1,1,"10","286"
314,"State Representative District 69 (Vote For 1)","Kirsten Running-Marquardt","DEM",8276,75.14,154556,102448,1,1,"14","1867"
315,"State Representative District 69 (Vote For 1)","Joshua Henderson","",2627,23.85,154556,102448,1,1,"14","1867"
316,"State Representative District 69 (Vote For 1)","Write-in","",111,1.01,154556,102448,1,1,"14","1867"
317,"State Representative District 70 (Vote For 1)","Tracy Ehlert","DEM",9364,76.50,154556,102448,1,1,"8","2048"
